X,Y,Z
-5082.00,360.00,2654.00
-276.00,-2719.00,1362.00
-1054.00,943.00,1083.00
-347.00,-929.00,2238.00
1512.00,-330.00,892.00
535.00,-2160.00,1500.00
-3721.00,-692.00,5065.00
-3697.00,-2804.00,1428.00
-1728.00,-1372.00,1818.00
-1143.00,-1444.00,1479.00
-2084.00,-163.00,2322.00
-3016.00,-620.00,2619.00
-749.00,-1863.00,646.00
-464.00,-1315.00,816.00
-1813.00,-197.00,629.00
4.00,-2180.00,894.00
-1387.00,-1558.00,1674.00
260.00,-2281.00,710.00
-499.00,595.00,465.00
418.00,-1432.00,1347.00
244.00,-2151.00,1489.00
735.00,-2223.00,1765.00
-373.00,-2445.00,877.00
-578.00,-2258.00,980.00
301.00,-2135.00,1076.00
-326.00,-655.00,1542.00
-659.00,-1336.00,531.00
-1026.00,-538.00,92.00
151.00,-2232.00,419.00
122.00,-2470.00,705.00
-438.00,-2764.00,540.00
-491.00,153.00,1269.00
2071.00,-1703.00,2746.00
1540.00,-1974.00,2235.00
-654.00,-1043.00,-659.00
2443.00,-1046.00,1504.00
2539.00,-3367.00,1727.00
609.00,-4690.00,-760.00
1399.00,-963.00,1295.00
1251.00,-3958.00,1201.00
-749.00,-1497.00,1171.00
-528.00,-3338.00,1163.00
372.00,-3349.00,1615.00
3479.00,-623.00,221.00
-1956.00,683.00,1271.00
-691.00,419.00,572.00
-1092.00,1127.00,418.00
-406.00,157.00,1282.00
-85.00,-243.00,1130.00
-455.00,-330.00,908.00
1426.00,-452.00,1694.00
471.00,-2097.00,1643.00
1267.00,-2598.00,2204.00
2087.00,-2253.00,2069.00
1863.00,-2276.00,2377.00
38.00,-46.00,473.00
1594.00,-853.00,2252.00
-329.00,-1208.00,1498.00
-439.00,-424.00,1560.00
-577.00,-137.00,429.00
-105.00,566.00,1143.00
-406.00,-151.00,618.00
3016.00,-3262.00,320.00
44.00,-294.00,700.00
4207.00,-1309.00,870.00
-726.00,-828.00,-19.00
-69.00,-1133.00,428.00
12050.00,-1331.00,2227.00
-2379.00,-3146.00,503.00
320.00,445.00,1328.00
-844.00,569.00,1878.00
-1183.00,-1788.00,2772.00
-275.00,-1063.00,899.00
-3665.00,-605.00,502.00
-357.00,-366.00,1816.00
-3644.00,-1427.00,503.00
-2930.00,-547.00,1746.00
440.00,691.00,1352.00
-349.00,-1315.00,1562.00
-325.00,-2225.00,-3.00
-913.00,-1681.00,1007.00
637.00,-2190.00,519.00
-14.00,544.00,1086.00
984.00,-741.00,1465.00
1275.00,-1101.00,565.00
-930.00,-2186.00,557.00
-678.00,-2100.00,716.00
