map,x,y,z
Outpost,38,-46,473
Outpost,1594,-853,2252
Outpost,-329,-1208,1498
Outpost,-439,-424,1560
Outpost,-577,-137,429
Outpost,-105,566,1143
Outpost,-406,-151,618
Outpost,3016,-3262,320
Outpost,44,-294,700
Outpost,4207,-1309,870
Outpost,-726,-828,-19
Outpost,-69,-1133,428
Outpost,12050,-1331,2227
Outpost,-2379,-3146,503
Outpost,320,445,1328
Outpost,-844,569,1878
Outpost,-1183,-1788,2772
Outpost,-275,-1063,899
Outpost,-3665,-605,502
Outpost,-357,-366,1816
Outpost,-3644,-1427,503
Outpost,-2930,-547,1746
Outpost,440,691,1352
Outpost,-349,-1315,1562
Outpost,-325,-2225,-3
Outpost,-913,-1681,1007
Outpost,637,-2190,519
Outpost,-14,544,1086
Outpost,984,-741,1465
Outpost,1275,-1101,565
Outpost,-930,-2186,557
Outpost,-678,-2100,716
Outpost,-3995,-1356,727
Outpost,-571,-2147,672
Outpost,1043,-1604,430
Outpost,-240,-1806,475
Outpost,-582,-2046,430
Outpost,1217,-3236,1472
Outpost,3877,-1289,502
Outpost,1042,-674,480
Outpost,1195,-21,812
Outpost,-152,836,1993
Outpost,1509,-3066,-512
Outpost,-437,-1923,522
Outpost,-434,49,430
Outpost,-885,787,692
Outpost,-3378,-1411,670
Outpost,79,-112,479
Outpost,1073,-1410,566
Outpost,-402,-496,1006
Outpost,329,632,454
Outpost,235,324,427
Outpost,1578,-1916,2223
Outpost,428,-220,1804
Outpost,634,277,2167
Outpost,2430,986,1431
Outpost,-3665,-789,502
Outpost,-2485,-5824,427
Outpost,2783,-792,1184
Outpost,-3665,-605,502
Outpost,-1460,-1569,1457
Outpost,-303,-2196,1359
Outpost,-501,-2497,734
Outpost,-1294,-2405,835
Outpost,-589,-2229,188
Outpost,-1317,205,1864
Outpost,496,-461,1491
Outpost,156,-1016,541
Outpost,800,1231,389
Outpost,865,-1191,2080
Outpost,204,-690,1243
Outpost,377,16,1719
Outpost,574,598,1249
Outpost,-22,-41,623
Outpost,1911,583,1994
Outpost,-1222,-633,1579
Outpost,86,-1237,826
Outpost,282,-2016,1163
Outpost,-947,-1118,532
Outpost,-1169,-1311,467
Outpost,753,46,820
Outpost,-9,-338,1296
Outpost,108,-26,746
Outpost,90,-395,1427
Outpost,152,-792,1691
Outpost,-119,-1540,1127
Outpost,-604,344,813
Outpost,2918,-4963,1508
Outpost,-289,-3411,1050
Outpost,-1401,855,561
Outpost,1803,2547,1633
Outpost,-187,1362,611
Outpost,-4159,1114,1057
Outpost,-483,-370,1288
Outpost,-578,6,1245
Outpost,502,-1871,452
Outpost,4,763,2399
Observatory,-3942,49,136
Observatory,3551,-2397,17
Observatory,6200,895,-448
Observatory,6471,-94,-475
Observatory,6065,583,-329
Observatory,5766,-902,-374
Observatory,5236,-1976,-388
Observatory,5158,-1828,-434
Observatory,4753,-1993,-198
Observatory,3841,-1826,454
Observatory,962,-2165,-37
Observatory,-56,-1731,202
Observatory,1425,-2881,-153
Observatory,169,479,349
Observatory,796,378,252
Observatory,-532,618,152
Observatory,-1837,433,301
Observatory,44,609,128
Observatory,-658,3,367
Observatory,-7271,140,250
Observatory,6323,2271,-369
Observatory,6323,-172,-369
