x,y,z,count
366.4895833333333,3.2187499999999982,916.1041666666666,16
2195.410714285714,-1314.5892857142858,1919.5,7
1743.0,-2166.8333333333335,2436.1666666666665,6
-2840.5,-2267.25,1176.3333333333333,4
-568.5277777777778,-851.7916666666666,662.3611111111111,9
-686.6454545454545,-1114.1454545454544,1859.6727272727271,10
2304.487179487179,1076.3846153846155,1146.4358974358975,13
653.7777777777778,-574.5925925925926,2713.1111111111113,9
11.083333333333336,-1850.6666666666665,1268.25,8
3311.4999999999995,-783.4791666666666,729.375,6
-314.7857142857143,-355.7142857142857,845.9285714285713,7
-3415.285714285714,-4597.142857142857,744.8571428571428,6
-708.5,-268.0,1718.0,6
833.25,-2071.5,954.5,4
420.4666666666667,-784.1333333333333,721.0666666666666,6
1564.5,-975.0,152.5,2
823.5,130.375,1504.4027777777778,9
3106.333333333333,-90.66666666666666,1296.6666666666665,4
59.734693877551024,-159.97959183673467,549.3265306122448,7
-291.0190476190476,-266.0,1766.3238095238096,7
1862.75,-719.0,1761.75,6
414.3807692307692,-52.81153846153846,1331.5346153846153,13
-567.2285714285714,-2020.047619047619,537.7904761904762,12
-1664.0,1089.9,734.1,4
-527.5714285714286,-1806.0,1293.0,7
1571.6666666666667,-1355.4444444444443,1355.6666666666667,6
300.2933333333333,-850.6844444444445,1417.5200000000002,15
467.5,-1384.25,562.0,2
303.58181818181816,635.321212121212,911.2545454545453,11
-94.65147198480533,-1075.079772079772,1334.2744539411206,27
-1490.875,-1848.3333333333333,749.0,8
2315.318181818182,-1219.6363636363637,1424.7272727272727,11
-201.87551020408162,452.8561224489796,1091.2479591836734,14
358.8,637.0,459.40000000000003,9
-1950.3749999999998,-1341.3749999999998,3067.375,6
462.58333333333326,-2040.333333333333,1133.8333333333333,11
-979.1666666666666,-928.3333333333334,1286.25,12
-652.6,349.8,490.0,7
2119.5,-912.0,880.5,5
574.0625,341.1875,1437.0,4
1032.2307692307693,-431.88461538461536,1629.8333333333333,13
673.0,-607.75,849.5,6
-1769.84375,-330.290625,573.046875,16
644.8,812.8,1020.6,11
-128.36904761904762,-565.4642857142857,2727.0833333333335,6
2298.75,-449.1928571428572,721.0857142857142,14
2723.5,1106.0,1087.0,3
-3090.4,-982.0,787.4000000000001,4
-402.6,-1256.2,533.4,4
-2299.0,-1358.4,476.40000000000003,4
-61.78947368421052,-407.36842105263156,1101.7894736842104,13
1629.3333333333333,228.33333333333334,1880.2222222222222,9
-2077.5833333333335,-1203.2500000000002,1797.5833333333333,8
471.0,-1912.6,1840.2,5
406.77777777777777,-127.88888888888889,3511.555555555555,4
-1347.5700000000002,-1052.9199999999998,1652.1299999999999,15
-111.14285714285714,-2063.5,60.5,7
1013.2857142857142,1126.4285714285713,771.5714285714286,6
-939.25,-3211.75,1702.25,3
-684.0,-696.6666666666666,126.33333333333333,2
4207.0,-1309.0,870.0,4
-815.5,-736.6428571428572,1043.7380952380952,6
3036.0800000000004,163.96,815.76,5
-355.5375,-1606.9125,966.5875,10
872.6,-2327.6,2138.0,6
-1399.0,-1847.0,1217.0,3
1745.2,-385.40000000000003,2626.8,5
-1890.9230769230774,-704.8461538461539,1761.5384615384617,10
-843.0,-2624.0,123.5,3
3518.75,-1151.0,1040.5,5
2389.2628205128203,-793.5865384615385,685.051282051282,13
-2381.0,901.25,-264.25,4
2706.0,-513.0,2065.0,2
-1275.0,-1890.3333333333333,112.66666666666666,5
-193.33333333333331,-1049.0,926.3333333333333,5
-2897.222222222222,-787.8888888888888,2664.8888888888887,11
-3657.8571428571427,-1056.857142857143,502.0,9
-2367.333333333333,175.33333333333331,2199.0,7
410.0,-1006.0,440.0,2
347.5,-2591.5,79.5,4
-2351.583333333333,-48.583333333333336,586.3416666666667,12
1436.375,-1708.125,1546.0,6
1461.0,786.4285714285713,1498.5714285714284,5
-3634.75,1361.125,451.625,8
3063.75,-1374.75,1324.0,3
-861.6666666666666,-3923.6666666666665,1636.6666666666665,2
1756.3333333333333,-2017.1666666666665,592.5,8
2503.0,-2776.75,1835.25,6
-1091.6000000000001,-1199.0,2022.8000000000002,4
2932.3125,-1838.6875,1349.0625,10
-353.5714285714286,601.4285714285714,1335.7142857142856,6
-1553.7,406.0,990.2,8
560.0,-2735.0,1310.0,3
1206.0,1685.0,2275.0,1
1427.3333333333333,868.3333333333333,2433.0,5
3727.847222222222,-1327.1180555555557,513.0972222222222,18
4363.0,-79.80000000000001,1190.2,5
-2933.333333333333,-2868.0,674.6666666666666,4
1136.3333333333333,-1167.0,961.6666666666666,1
